orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,shipstate/province,shipzip/postalcode,shipcountry/region,shippingfee,taxes,paymenttype,paiddate,notes,taxrate,taxstatus,statusid,uniquerowid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,productid,unitpricex,quantity,discount,productname,supplierid,categoryid,quantityperunit,unitpricey,unitsinstock,unitsonorder,reorderlevel,discontinued,orderdate_main,year,month,unitprice,totalamount
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,,,,,,,,,,,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,11,14.0,12.0,0.0,Queso Cabrales,5.0,4.0,1 kg pkg.,21.0,22.0,30.0,30.0,False,1996-04-07,1996.0,4.0,14.0,168.0
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,,,,,,,,,,,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,42,9.8,10.0,0.0,Singaporean Hokkien Fried Mee,20.0,5.0,32 - 1 kg pkgs.,14.0,26.0,0.0,0.0,True,1996-04-07,1996.0,4.0,9.8,98.0
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,,,,,,,,,,,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,72,34.8,5.0,0.0,Mozzarella di Giovanni,14.0,4.0,24 - 200 g pkgs.,34.8,14.0,0.0,0.0,False,1996-04-07,1996.0,4.0,34.8,174.0
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialit ten,Luisenstr. 48,M nster,,44087,Germany,,,,,,,,,,,,1,Toms Spezialit ten,Karin Josephs,Marketing Manager,Luisenstr. 48,M nster,,44087,Germany,0251-031259,0251-035695,14,18.6,9.0,0.0,Tofu,6.0,7.0,40 - 100 g pkgs.,23.25,35.0,0.0,0.0,False,1996-05-07,1996.0,5.0,18.6,167.4
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialit ten,Luisenstr. 48,M nster,,44087,Germany,,,,,,,,,,,,1,Toms Spezialit ten,Karin Josephs,Marketing Manager,Luisenstr. 48,M nster,,44087,Germany,0251-031259,0251-035695,51,42.4,40.0,0.0,Manjimup Dried Apples,24.0,7.0,50 - 300 g pkgs.,53.0,20.0,0.0,10.0,False,1996-05-07,1996.0,5.0,42.4,1696.0
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,2,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,41,7.7,10.0,0.0,Jack's New England Clam Chowder,19.0,8.0,12 - 12 oz cans,9.65,85.0,0.0,10.0,False,1996-08-07,1996.0,8.0,7.7,77.0
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,2,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,51,42.4,35.0,0.1500000059604644,Manjimup Dried Apples,24.0,7.0,50 - 300 g pkgs.,53.0,20.0,0.0,10.0,False,1996-08-07,1996.0,8.0,42.4,1484.0
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,2,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,65,16.8,15.0,0.1500000059604644,Louisiana Fiery Hot Pepper Sauce,2.0,2.0,32 - 8 oz bottles,21.05,76.0,0.0,0.0,False,1996-08-07,1996.0,8.0,16.8,252.0
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,,,,,,,,,,,3,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,22,16.8,6.0,0.050000000745058,Gustaf's Kn ckebr d,9.0,5.0,24 - 500 g pkgs.,21.0,104.0,0.0,25.0,False,1996-08-07,1996.0,8.0,16.8,100.80000000000001
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,,,,,,,,,,,3,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,57,15.6,15.0,0.050000000745058,Ravioli Angelo,26.0,5.0,24 - 250 g pkgs.,19.5,36.0,0.0,20.0,False,1996-08-07,1996.0,8.0,15.6,234.0
