orderid,productid,unitprice_x,quantity,discount,total,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,productname,supplierid,categoryid,quantityperunit,unitprice_y,unitsinstock,unitsonorder,reorderlevel,discontinued,year_month
10248,11,14.0,12,0.0,168.0,-9223372036854775808,5,1996-04-07,821059200000000000,1996-07-16,3,32.38,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,5,4,-9223372036854775808,21.0,22,30,30,False,1996-04
10248,42,9.8,10,0.0,98.0,-9223372036854775808,5,1996-04-07,821059200000000000,1996-07-16,3,32.38,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,20,5,-9223372036854775808,14.0,26,0,0,True,1996-04
10248,72,34.8,5,0.0,174.0,-9223372036854775808,5,1996-04-07,821059200000000000,1996-07-16,3,32.38,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,34.8,14,0,0,False,1996-04
10249,14,18.6,9,0.0,167.4,-9223372036854775808,6,1996-05-07,-9223372036854775808,1996-07-10,1,11.61,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,6,7,-9223372036854775808,23.25,35,0,0,False,1996-05
10249,51,42.4,40,0.0,1696.0,-9223372036854775808,6,1996-05-07,-9223372036854775808,1996-07-10,1,11.61,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,24,7,-9223372036854775808,53.0,20,0,10,False,1996-05
10250,41,7.7,10,0.0,77.0,-9223372036854775808,4,1996-08-07,831513600000000000,1996-07-12,2,65.83,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,19,8,-9223372036854775808,9.65,85,0,10,False,1996-08
10250,51,42.4,35,0.1500000059604644,1484.0,-9223372036854775808,4,1996-08-07,831513600000000000,1996-07-12,2,65.83,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,24,7,-9223372036854775808,53.0,20,0,10,False,1996-08
10250,65,16.8,15,0.1500000059604644,252.0,-9223372036854775808,4,1996-08-07,831513600000000000,1996-07-12,2,65.83,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,2,2,-9223372036854775808,21.05,76,0,0,False,1996-08
10251,22,16.8,6,0.050000000745058,100.8,-9223372036854775808,3,1996-08-07,831513600000000000,1996-07-15,1,41.34,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,9,5,-9223372036854775808,21.0,104,0,25,False,1996-08
10251,57,15.6,15,0.050000000745058,234.0,-9223372036854775808,3,1996-08-07,831513600000000000,1996-07-15,1,41.34,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,26,5,-9223372036854775808,19.5,36,0,20,False,1996-08
10251,65,16.8,20,0.0,336.0,-9223372036854775808,3,1996-08-07,831513600000000000,1996-07-15,1,41.34,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,2,2,-9223372036854775808,21.05,76,0,0,False,1996-08
10252,20,64.8,40,0.050000000745058,2592.0,-9223372036854775808,4,1996-09-07,834192000000000000,1996-07-11,2,51.3,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,8,3,-9223372036854775808,81.0,40,0,0,False,1996-09
10252,33,2.0,25,0.050000000745058,50.0,-9223372036854775808,4,1996-09-07,834192000000000000,1996-07-11,2,51.3,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,15,4,-9223372036854775808,2.5,112,0,20,False,1996-09
10252,60,27.2,40,0.0,1088.0,-9223372036854775808,4,1996-09-07,834192000000000000,1996-07-11,2,51.3,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,28,4,-9223372036854775808,34.0,19,0,0,False,1996-09
10253,31,10.0,20,0.0,200.0,-9223372036854775808,3,1996-10-07,-9223372036854775808,1996-07-16,2,58.17,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,12.5,0,70,20,False,1996-10
10253,39,14.4,42,0.0,604.8000000000001,-9223372036854775808,3,1996-10-07,-9223372036854775808,1996-07-16,2,58.17,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,18,1,-9223372036854775808,18.0,69,0,5,False,1996-10
10253,49,16.0,40,0.0,640.0,-9223372036854775808,3,1996-10-07,-9223372036854775808,1996-07-16,2,58.17,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,23,3,-9223372036854775808,20.0,10,60,15,False,1996-10
10254,24,3.6,15,0.1500000059604644,54.0,-9223372036854775808,5,1996-11-07,839462400000000000,1996-07-23,2,22.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,10,1,-9223372036854775808,4.5,20,0,0,True,1996-11
10254,55,19.2,21,0.1500000059604644,403.2,-9223372036854775808,5,1996-11-07,839462400000000000,1996-07-23,2,22.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,25,6,-9223372036854775808,24.0,115,0,20,False,1996-11
10254,74,8.0,21,0.0,168.0,-9223372036854775808,5,1996-11-07,839462400000000000,1996-07-23,2,22.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,4,7,-9223372036854775808,10.0,4,20,5,False,1996-11
